"","Name","DriveAcc","DriveDist","Money","Score2","Putts","ApproachDist","PuttsMadeDist","ClubSpeed","OnePuttPerc","Score1"
"163","Kyle Jones","68.62","284.0","$277,762","71.09","29.50","160.6","4' 2""","109.10","36.62","71.32"
"164","Roberto Castro","67.50","283.8","$674,250","70.26","29.28","162.9","4' 2""","109.17","41.16","69.45"
"165","Johnson Wagner","67.08","283.4","$597,792","69.86","29.45","162.6","4' 6""","106.80","36.26","69.58"
"166","Brady Schnell","67.46","283.3","$210,914","71.06","28.80","157.7","3' 9""","106.03","35.42","71.44"
"167","Vaughn Taylor","69.03","282.9","$1,723,910","69.78","28.27","156.1","4' 6""","107.64","41.06","69.52"
"168","Satoshi Kodaira","67.63","282.3","$421,457","72.08","29.55","166.8","3' 10""","111.36","38.33","71.60"
"169","Ryan Moore","75.53","282.2","$1,838,788","70.20","28.82","167.0","4' 12""","109.40","35.28","70.45"
"170","Jonathan Byrd","58.25","281.6","$550,547","70.53","28.71","158.0","4' 3""","108.12","41.11","69.53"
"171","Andrew Putnam","60.64","281.5","$2,439,137","70.29","28.30","165.0","5' 4""","113.83","42.13","69.17"
"172","Ted Potter, Jr.","63.22","281.4","$757,721","71.37","29.39","158.8","4' 7""","112.21","37.12","69.95"
"173","David Hearn","69.92","279.3","$397,677","70.72","29.06","164.6","4' 1""","105.94","41.27","70.21"
"174","Michael Kim","52.96","279.3","$104,936","72.97","29.29","161.9","3' 12""","110.46","37.50","72.58"
"175","Alex Cejka","67.19","278.0","$181,155","71.28","29.10","160.9","4' 5""","107.77","41.32","70.56"
"176","Ryan Armour","73.81","277.9","$955,468","70.11","28.91","163.3","4' 10""","108.52","38.89","69.00"
"177","Brian Stuard","71.09","276.6","$1,320,637","70.32","28.40","160.9","4' 4""","104.85","42.86","70.25"
"178","Jim Furyk","74.45","275.0","$2,669,938","70.06","29.16","173.6","3' 0""","106.09","35.42","69.00"
"179","Brian Gay","70.19","274.9","$1,029,440","70.58","28.65","164.8","5' 0""","105.01","44.24","69.52"
"180","Scott Langley","69.02","271.3","$635,883","70.84","28.43","161.5","4' 7""","108.22","43.38","69.27"
